lineNumber,turn,year,suggestedYear,country,countryKey,type,targetTonsMax,maxShipyardTons,techTonnageTons,tonnageLimitTons,shipyardRejects,tonnageRejects,techRejects,duplicateRejects,invalidRejects,otherRejects,reason,priority,followUp,window
20275,February_1891,1891,1891,Austro-Hungarian Empire,austria,BB,10669,10669,?,10669,0,0,1,1,0,0,mixedRejects,high,"Create or adapt an Austria-Hungary BB around 10.7k tons with 1891-safe downgraded tech; existing candidates hit tech plus duplicate rejection.",1884-1894
20276,February_1891,1891,1891,British Empire,britain,BB,13838,13838,?,13838,0,0,0,1,0,0,onlyDuplicate,medium,"Add a Britain BB Mk II / variant around 13.8k tons; current shared coverage exists but only duplicates the already represented design.",1884-1894
20277,February_1891,1891,1891,Empire of Japan,japan,BB,11506,11506,?,11506,0,0,0,1,0,0,onlyDuplicate,medium,"Add a Japan BB Mk II / variant around 11.5k tons; current shared coverage exists but only duplicates the already represented design.",1884-1894
21139,March_1891,1891,1891,France,france,CA,4500,12669,4500,4500,0,0,1,1,0,0,mixedRejects,high,"Create or adapt a France CA at or below 4.5k tons with 1891-safe tech; existing candidates include tech rejection plus duplicate.",1884-1894
21140,March_1891,1891,1891,Spanish Empire,spain,BB,8838,8838,?,8838,6,0,0,1,0,0,mixedRejects,high,"Create a smaller Spain BB below 8.8k tons; six shared candidates were rejected by shipyard size and one was duplicate.",1884-1894
21942,April_1891,1891,1891,British Empire,britain,BB,13838,13838,?,13838,0,0,0,1,0,0,onlyDuplicate,medium,"Same Britain BB variant gap as February: add another non-duplicate 13.8k-ton-ish BB blueprint.",1884-1894
21943,April_1891,1891,1891,Italian Empire,italy,BB,9838,9838,?,9838,0,0,0,1,0,0,onlyDuplicate,medium,"Add an Italy BB Mk II / variant around 9.8k tons; current shared coverage exists but only duplicates the already represented design.",1884-1894
23727,June_1891,1891,1891,British Empire,britain,CA,4500,13838,4500,4500,0,0,2,1,0,0,mixedRejects,high,"Create or adapt a Britain CA at or below 4.5k tons with 1891-safe tech; two tech rejections and one duplicate were seen.",1884-1894
23728,June_1891,1891,1891,Italian Empire,italy,CA,4000,9838,4000,4000,0,0,1,1,0,0,mixedRejects,high,"Create or adapt an Italy CA at or below 4.0k tons with 1891-safe tech; existing candidates include tech rejection plus duplicate.",1884-1894
26421,August_1891,1891,1891,Chinese Empire,china,TB,300,9644,300,300,0,0,0,1,0,0,onlyDuplicate,low,"Add a China TB variant at or below 300 tons only if we want more replacement variety; coverage exists but duplicates.",1884-1894
